feature,quartile,n,mean_pnl,median_pnl,win_rate,sum_pnl,mean_feat_val
price_level_abs50,Q1_low,323,80.58359133126935,15.370000000000005,0.9566563467492261,26028.5,0.1140092879256966
price_level_abs50,Q2,322,31.583074534161497,0.8799999999999999,0.5372670807453416,10169.750000000002,0.3102639751552795
price_level_abs50,Q3,322,-7.913850931677014,-17.700000000000003,0.2577639751552795,-2548.2599999999984,0.38727950310559006
price_level_abs50,Q4_high,323,-68.71179566563468,-44.400000000000006,0.11455108359133127,-22193.910000000003,0.43675541795665634
vol_total,Q1_low,323,-0.7783281733746128,-0.4,0.4582043343653251,-251.39999999999992,3831.9752321981423
vol_total,Q2,322,0.08888198757764074,1.4700000000000002,0.5434782608695652,28.620000000000317,16291.512422360249
vol_total,Q3,322,-20.146490683229814,-38.900000000000006,0.40993788819875776,-6487.17,64234.990683229815
vol_total,Q4_high,323,56.24157894736844,-76.9,0.4551083591331269,18166.030000000006,166935.41176470587
rvol_full,Q1_low,322,-52.00698757763975,-29.7,0.17701863354037267,-16746.25,0.0773184075059152
rvol_full,Q2,321,34.60323987538942,2.66,0.6386292834890965,11107.640000000003,0.2510289831831322
rvol_full,Q3,321,-4.0169158878504625,-7.7,0.4174454828660436,-1289.4299999999985,0.5356408455737557
rvol_full,Q4_high,321,57.27704049844237,4.430000000000001,0.6386292834890965,18385.93,0.8917551854442224
range_early,Q1_low,323,-2.1901857585139277,-4.2,0.3126934984520124,-707.4299999999986,0.36743343653250776
range_early,Q2,322,-9.602391304347822,-18.1,0.3198757763975155,-3091.969999999999,0.46457453416149075
range_early,Q3,322,3.008478260869571,-4.16,0.4751552795031056,968.7300000000018,0.5446055900621118
range_early,Q4_high,323,44.23142414860682,5.620000000000001,0.7585139318885449,14286.750000000004,0.7334179566563468
oi_bar4,Q1_low,323,1.2101238390092879,0.29,0.5356037151702786,390.87,577.2693498452012
oi_bar4,Q2,322,4.120962732919257,1.4700000000000002,0.5403726708074534,1326.9500000000007,2403.226708074534
oi_bar4,Q3,322,35.7914596273292,-15.399999999999999,0.484472049689441,11524.850000000004,10037.621118012423
oi_bar4,Q4_high,323,-5.531238390092868,-112.4,0.3065015479876161,-1786.5899999999965,29601.19814241486
spread_min,Q1_low,52,2.768846153846155,0.29,0.6153846153846154,143.98000000000005,0.0
spread_min,Q2,51,-16.675686274509804,-1.7000000000000002,0.35294117647058826,-850.46,0.00490196078431373
spread_min,Q3,51,0.257254901960785,0.29,0.5882352941176471,13.120000000000033,0.02647058823529412
spread_min,Q4_high,52,0.43576923076923124,-0.5,0.46153846153846156,22.660000000000025,0.12250000000000003
