hour_utc,n,mean_pnl,sum_pnl,median_pnl,win
10,60,48.326666666666675,2899.6000000000004,2.5050000000000003,0.5666666666666667
12,56,39.69803571428572,2223.0900000000006,1.3249999999999997,0.5714285714285714
2,45,39.327111111111115,1769.7200000000003,2.3600000000000003,0.6
23,68,39.17367647058824,2663.8100000000004,0.09499999999999999,0.5
20,56,35.95214285714287,2013.3200000000004,-9.25,0.375
11,53,32.53754716981133,1724.4900000000005,-2.3000000000000003,0.41509433962264153
7,31,32.2683870967742,1000.32,3.5399999999999996,0.5806451612903226
19,55,17.788000000000007,978.3400000000004,0.29,0.509090909090909
14,43,12.273023255813957,527.7400000000001,-4.4,0.4418604651162791
9,70,9.933714285714291,695.3600000000004,-1.6,0.4714285714285714
21,63,9.016825396825402,568.0600000000003,1.7699999999999998,0.5238095238095238
1,51,5.85254901960785,298.48000000000036,0.29,0.5490196078431373
18,77,4.802077922077929,369.76000000000056,1.1800000000000002,0.5064935064935064
6,38,3.235000000000003,122.93000000000012,0.29,0.5263157894736842
13,63,2.845555555555559,179.2700000000002,-0.1,0.47619047619047616
17,59,2.3047457627118706,135.98000000000036,-4.0,0.4067796610169492
15,51,1.8331372549019653,93.49000000000024,-0.7,0.47058823529411764
4,40,-7.711249999999994,-308.44999999999976,-11.15,0.4
8,57,-7.987368421052631,-455.28,-7.5,0.38596491228070173
3,49,-14.459591836734692,-708.5199999999999,-6.5,0.30612244897959184
22,58,-20.518448275862067,-1190.07,-4.65,0.39655172413793105
16,57,-22.782456140350874,-1298.6,-6.6000000000000005,0.43859649122807015
0,43,-30.69627906976744,-1319.9399999999998,-6.0,0.4186046511627907
5,47,-32.48553191489361,-1526.82,-10.0,0.3617021276595745
